No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
248,FL,,2 ,K-38（E）,,Y3,739.3756 ,339.1426 ,SH,34,23.35,7.3,4.64,3,,1
249,FL,21,2 ,K-38（E）,,Y3,703.6550 ,335.8953 ,SH,39.4,44.1,13.1,20.51,12,,0
250,CH,,2 ,K-38（E）,,Y3,617.6009 ,369.9922 ,SH,16.2,17.55,4.55,1.07,,,0
251,CH,,2 ,K-38（E）,,Y3,591.6222 ,371.6159 ,SH,13.05,15.1,2,0.35,,,0
252,CH,,2 ,K-38（E）,,Y3,561.5845 ,370.8041 ,SH,8.1,10.8,3.05,0.2,,,0
253,CH,,2 ,K-38（E）,,Y3,530.7349 ,366.7449 ,SH,18.1,8.05,1.7,0.27,,,0
254,RF,9,2 ,K-38（E）,,Y3,622.4718 ,322.9060 ,SH,25.3,14.2,4.5,1.33,1,,0
255,FL,,2 ,K-38（E）,,Y3,591.6222 ,322.9060 ,SH,10.9,20.8,3.2,0.44,3,,0
256,CH,,2 ,K-38（E）,,Y3,572.1383 ,317.2232 ,TS,14.3,13.6,5.75,0.55,,,0
257,RF,,2 ,K-38（E）,,Y3,560.7726 ,486.8960 ,SH,19.6,16.9,4.1,1.12,3,,1
258,ES,21,2 ,K-38（E）,,Y3,609.4825 ,496.6380 ,SH,48.2,33.9,13.7,22.31,12,,1
259,FL,,2 ,K-38（E）,,Y3,429.2559 ,207.6259 ,SH,11.4,22.65,4.3,0.99,,,0
260,CH,,2 ,K-38（E）,,Y3,490.9551 ,374.8632 ,SH,11.6,6.9,3.1,0.18,13,,0
261,FL,21,2 ,K-38（E）,,Y3,469.0357 ,374.0514 ,SH,60.85,54.5,14.1,,12,,1
262,CH,,1 ,J-36（E）,,Y3,2252.2237 ,-124.4132 ,SH,13.1,9.9,2.8,0.19,4,,0
263,CH,,1 ,J-36（E）,,Y3,2110.9650 ,-137.8084 ,SH,19.6,8.75,2.95,0.42,14,,0
264,CH,,1 ,J-36（E）,,Y3,2094.7284 ,-152.0155 ,SH,13.45,15.3,2.2,0.35,,,0
265,FL,18,1 ,J-36（E）,,Y3,2083.7686 ,-169.4698 ,SH,25.7,12,4.95,1.37,9,,0
266,CH,2,1 ,K-36（E）,,Y3,2145.8737 ,59.2637 ,SH,19.7,25.1,6.65,2.03,2,,1
267,FL,2,1 ,K-36（E）,,Y3,2148.7152 ,96.6080 ,SH,25.1,18.3,5.8,2.56,2,,1
268,FL,15,1 ,K-36（E）,,Y3,2081.7391 ,62.1051 ,SH,27.3,53.1,12.9,14.36,5,,0
269,FL,14,1 ,K-36（E）,,Y3,2085.7982 ,83.8216 ,SH,36,40.7,13.65,10.6,5,,1
270,RF,,1 ,K-36（E）,,Y3,2101.6289 ,93.5636 ,SH,21.5,7.5,2,0.29,,,0
